Total Time (s),Cycle Elapsed Time (s),Total Cycles,Elapsed Cycles,Step,Total Cycle Count(8800MTB25266 Linear Waveform),Position (mm),Force (kN),Strain 1 (%),Unnamed: 9,Stress
2.273,2.273,1,1,1,0,26.97996694,12.23605501,0.730107672,,623.1771646
2.282,2.282,1,1,1,0,26.98010834,12.23576968,0.730272868,,623.1626326
2.291,2.291,1,1,1,0,26.98084184,12.23427608,0.731139049,,623.0865642
2.3,2.3,1,1,1,0,26.98059407,12.23297781,0.731240153,,623.0204439
2.309,2.309,1,1,1,0,26.98069755,12.23197201,0.733705237,,622.9692191
2.318,2.318,1,1,1,0,26.98079718,12.23048626,0.736970458,,622.8935503
2.327,2.327,1,1,1,0,26.98112139,12.22932918,0.740021996,,622.8346205
2.336,2.336,1,1,1,0,26.98150819,12.22838965,0.741162355,,622.7867706
2.345,2.345,1,1,1,0,26.98121405,12.22641125,0.741408402,,622.6860119
2.354,2.354,1,1,1,0,26.98104844,12.22523049,0.741982273,,622.6258764
2.363,2.363,1,1,1,0,26.98178521,12.22333172,0.742362283,,622.5291726
2.372,2.372,1,1,1,0,26.98179033,12.22311487,0.74360945,,622.5181284
2.381,2.381,1,1,1,0,26.98201332,12.21999841,0.745977402,,622.3594086
2.39,2.39,1,1,1,0,26.98217082,12.22031494,0.749964038,,622.3755293
2.399,2.399,1,1,1,0,26.98224407,12.21761673,0.751247072,,622.2381106
2.408,2.408,1,1,1,0,26.98267108,12.21728351,0.751622239,,622.2211396
2.417,2.417,1,1,1,0,26.9824684,12.21544828,0.751562615,,622.127672
2.426,2.426,1,1,1,0,26.98234631,12.21459213,0.751993765,,622.0840692
2.435,2.435,1,1,1,0,26.98281182,12.21224417,0.752432665,,621.9644882
2.444,2.444,1,1,1,0,26.98309321,12.2110505,0.754277965,,621.9036954
2.453,2.453,1,1,1,0,26.98315442,12.20940522,0.758016299,,621.8199019
2.462,2.462,1,1,1,0,26.98347798,12.20762412,0.760405286,,621.7291913
2.471,2.471,1,1,1,0,26.98323416,12.20617092,0.761499162,,621.65518
2.48,2.48,1,1,1,0,26.98339169,12.20584998,0.761046781,,621.6388346
