Total Time (s),Cycle Elapsed Time (s),Total Cycles,Elapsed Cycles,Step,Total Cycle Count(8800MTB25266 Linear Waveform),Position (mm),Force (kN),Strain 1 (%),Stress
0.206,0.206,1,1,1,0,28.60118458,0.387339108,0.009525176,19.7270191
0.207,0.207,1,1,1,0,28.60136917,0.400214083,0.011228975,20.38273625
0.208,0.208,1,1,1,0,28.60148549,0.412728451,0.012291297,21.02008777
0.209,0.209,1,1,1,0,28.60152917,0.425102469,0.012273416,21.65029131
0.21,0.21,1,1,1,0,28.60153103,0.437584985,0.011748876,22.28602067
0.211,0.211,1,1,1,0,28.60170705,0.450204872,0.011390764,22.92874622
0.212,0.212,1,1,1,0,28.60208871,0.463409163,0.011359192,23.60123527
0.213,0.213,1,1,1,0,28.60240778,0.476436503,0.011343062,24.26471227
0.214,0.214,1,1,1,0,28.60249681,0.489118788,0.012033116,24.91061576
0.215,0.215,1,1,1,0,28.60247297,0.502005406,0.013657678,25.56692581
0.216,0.216,1,1,1,0,28.60286562,0.515014958,0.014865175,26.22949686
0.217,0.217,1,1,1,0,28.6034707,0.528406724,0.01508208,26.91153394
0.218,0.218,1,1,1,0,28.60408081,0.54216627,0.014745779,27.61230188
0.219,0.219,1,1,1,0,28.60423923,0.556273852,0.014390517,28.3307951
0.22,0.22,1,1,1,0,28.60399699,0.570588745,0.014037304,29.05984666
0.221,0.221,1,1,1,0,28.60403843,0.584600493,0.013709869,29.77345915
0.222,0.222,1,1,1,0,28.60441078,0.597395748,0.014206842,30.42511612
0.223,0.223,1,1,1,0,28.60509399,0.609943643,0.016041547,31.06417519
0.224,0.224,1,1,1,0,28.60552324,0.622948725,0.017762817,31.72651857
0.225,0.225,1,1,1,0,28.60556599,0.636625942,0.018394943,32.42309353
0.226,0.226,1,1,1,0,28.60535439,0.650702883,0.018077362,33.14002624
0.227,0.227,1,1,1,0,28.60540403,0.665284786,0.017444044,33.88267652
0.228,0.228,1,1,1,0,28.60585991,0.679552648,0.016899202,34.60933277
0.229,0.229,1,1,1,0,28.60637959,0.692871399,0.016524326,35.2876512
0.23,0.23,1,1,1,0,28.60684637,0.705897529,0.017096698,35.95106654
0.231,0.231,1,1,1,0,28.60702509,0.719686132,0.019030329,36.65331434
0.232,0.232,1,1,1,0,28.6068026,0.734096393,0.020708423,37.38722293
0.233,0.233,1,1,1,0,28.60653512,0.748562627,0.020957217,38.12398216
